,id,created_at,order_id,name,variation_name,quantity,base_price_money,total_money
77,XPkp0YJvPSauVnDt4N2GbaQc31cZY,2024-07-28 11:15:32.849,U2gOtEQlLqlFlG5WU82vHD3FNLMZY,(G)I-DLE - 2 (Random Ver.),"Incl. 96PG Booklet, Lyric Paper, Mini-POSTER, Envelope, Photocard, Film Photocard, Message Card + Sticker",1,34.95,34.95
78,DVSICmWm7aQqgxGkKOo1hklkZKDZY,2024-07-28 11:15:09.233,U2gOtEQlLqlFlG5WU82vHD3FNLMZY,(G)I-DLE - 2 (Random Ver.),"Incl. 96PG Booklet, Lyric Paper, Mini-POSTER, Envelope, Photocard, Film Photocard, Message Card + Sticker",1,34.95,34.95
79,DVSICmWm7aQqgxGkKOo1hklkZKDZY,2024-07-28 11:15:09.233,U2gOtEQlLqlFlG5WU82vHD3FNLMZY,(G)I-DLE - 2 (Random Ver.),"Incl. 96PG Booklet, Lyric Paper, Mini-POSTER, Envelope, Photocard, Film Photocard, Message Card + Sticker",1,34.95,34.95
80,DVSICmWm7aQqgxGkKOo1hklkZKDZY,2024-07-28 11:15:09.233,U2gOtEQlLqlFlG5WU82vHD3FNLMZY,(G)I-DLE - 2 (Random Ver.),"Incl. 96PG Booklet, Lyric Paper, Mini-POSTER, Envelope, Photocard, Film Photocard, Message Card + Sticker",1,34.95,34.95
81,TLb3NARXDCJJvkgQYqpmnyJXWp8YY,2024-07-28 11:14:27.546,kawP18ag652DHnAbSAXb2HxNxtQZY,(G)I-DLE - 2 (Random Ver.),"Incl. 96PG Booklet, Lyric Paper, Mini-POSTER, Envelope, Photocard, Film Photocard, Message Card + Sticker",1,34.95,34.95
82,TLb3NARXDCJJvkgQYqpmnyJXWp8YY,2024-07-28 11:14:27.546,kawP18ag652DHnAbSAXb2HxNxtQZY,(G)I-DLE - 2 (Random Ver.),"Incl. 96PG Booklet, Lyric Paper, Mini-POSTER, Envelope, Photocard, Film Photocard, Message Card + Sticker",1,34.95,34.95
83,bLBTxgB1VuUzUtVy927J024QagWZY,2024-07-28 11:14:10.789,kawP18ag652DHnAbSAXb2HxNxtQZY,(G)I-DLE - 2 (Random Ver.),"Incl. 96PG Booklet, Lyric Paper, Mini-POSTER, Envelope, Photocard, Film Photocard, Message Card + Sticker",1,34.95,34.95
84,bLBTxgB1VuUzUtVy927J024QagWZY,2024-07-28 11:14:10.789,kawP18ag652DHnAbSAXb2HxNxtQZY,(G)I-DLE - 2 (Random Ver.),"Incl. 96PG Booklet, Lyric Paper, Mini-POSTER, Envelope, Photocard, Film Photocard, Message Card + Sticker",1,34.95,34.95
85,JiDWEfI0Zswof29AmV0bwcrvriXZY,2024-07-28 11:13:42.424,aXFTktbDrst4e3aTLqgDlrb3wGTZY,(G)I-DLE - 2 (Random Ver.),"Incl. 96PG Booklet, Lyric Paper, Mini-POSTER, Envelope, Photocard, Film Photocard, Message Card + Sticker",1,34.95,34.95
86,nXEpGz2E9pSVGVUA53qISYlSynKZY,2024-07-28 11:13:12.497,atM1wWpsH3JWNkUHytNo2ZU8PhKZY,(G)I-DLE - 2 (Random Ver.),"Incl. 96PG Booklet, Lyric Paper, Mini-POSTER, Envelope, Photocard, Film Photocard, Message Card + Sticker",1,34.95,34.95
87,dwBilAU8ZftxpMWHZ3y5nzi5uaB,2024-07-25 16:29:52.316,0y0v2okyvwQZ3pmAmetDgOteV,,,1,5.0,5.0
88,RGBtARcsX4AlGGFg2znjC80muaB,2024-07-21 14:54:13.777,UUZT7n2EzQD5xWidMCZlOJAfV,,,1,10.0,10.0
89,HZdBGDycDf91Yi4CB4apXC6nuaB,2024-07-20 14:43:51.849,Gx9k10kvNkJypo6MDQnpLczeV,,,1,15.0,15.0
90,lgN5zebLTa3N17GKr9jOFZa2uaB,2024-07-20 14:40:18.981,KpkQexdI1CuJviIzyLQqU06eV,,,1,5.0,5.0
91,B8QDVWPmZQyk04ZOxMcTsDcOuaB,2024-07-20 11:46:37.134,suqqIpSBAO9yTx8Vj8mvPt7eV,NCT Dream - Dream()Scape (Photobook Ver.),Dream Scape,1,38.95,38.95
92,PDMLcTAyixEawMegbdKFICODuaB,2024-07-19 16:25:43.838,6nJtYdH2b2be6TtB8w4nwHoeV,,,1,5.0,5.0
93,9ykDdfX9fH1nFIXVaR4oDjbDuaB,2024-07-19 16:04:17.912,yZwhf1NtxS80RMucjicp1DxeV,,,1,20.0,20.0
94,bZqIhrHU5J3NTixHECFLWnDLuaB,2024-07-19 16:02:41.769,UkNrOYuyKA9iu2lPlOgjN02eV,,,1,10.0,10.0
95,758ry681xY1z1wAQGJaBVTl6taB,2024-07-19 16:02:16.782,ujISpWk8haD6gDKdxfj5xD5eV,,,,,
96,XrgaTrg4ylviW6VgGBmbeOpiuaB,2024-07-19 15:45:20.311,AKJlEnzNx2mjPUfn1fqYsW7eV,,,1,15.0,15.0
97,x8K0utoNOnFMKgct1D1psZJFvaB,2024-07-19 15:37:01.156,EucakIo0OXVvDyHp0iRAGozeV,,,1,50.0,50.0
98,Hl9oFmdr1pDpg8tuvQ33Kpm9vaB,2024-07-19 15:21:17.066,UIpubnUeZwYHCZQqCWwW5ioeV,,,1,15.0,15.0
99,xunWoCgp6xFZRQrSNU5Ye9NuuaB,2024-07-19 15:00:34.367,u3QtZN7cMDXHszzwBVaQllqeV,,,1,15.0,15.0
100,3H4Xrg5wiJ78W8V0k7uRpaV5vaB,2024-07-19 14:36:02.459,Awkv5U9WbBMAqlAFWGWpTdjeV,,,1,15.0,15.0
101,zjJgJJd1DxmJ6YK1RehRI74dbGbZY,2024-07-18 17:26:08.417,Qi3oZB9r4LN6zYGKdVZbwNPbwh9YY,BTS Butter (Random Ver.),BTS,1,37.95,37.95
102,zjJgJJd1DxmJ6YK1RehRI74dbGbZY,2024-07-18 17:26:08.417,Qi3oZB9r4LN6zYGKdVZbwNPbwh9YY,Stray Kids - NoEasy (Random Ver.),Regular,1,38.95,38.95
103,zjJgJJd1DxmJ6YK1RehRI74dbGbZY,2024-07-18 17:26:08.417,Qi3oZB9r4LN6zYGKdVZbwNPbwh9YY,BTS Jimin Face (Random Ver.),Regular,1,39.95,39.95
104,Bq33ZvCBJkAeFaX6yiuvXOAHvaB,2024-07-18 16:34:21.634,6zXZGepO6wCgdCTPMqeddO8eV,,,1,5.0,5.0
105,Bq33ZvCBJkAeFaX6yiuvXOAHvaB,2024-07-18 16:34:21.634,6zXZGepO6wCgdCTPMqeddO8eV,,,1,1.0,1.0
106,lclYiBtcHGqVH11FbA8beKJHvaB,2024-07-18 15:07:00.621,ednNdZkiAm3KC25a0ehLl2oeV,NewJeans - How Sweet (Random Ver.),Regular,1,39.95,39.95
107,FURwY5SRZnQePoHzOiPUWJDyuaB,2024-07-18 12:38:10.281,67lSUsbEu2q6HHVdY5ksEUieV,,,1,18.5,18.5
108,ntXzhnmzR1fnZtfIHtSTcSdRuaB,2024-07-18 11:37:39.150,ijFTBD1sBdF5cHKtRFdhQK9eV,NewJeans - How Sweet (Random Ver.),Regular,1,39.95,39.95
109,TZGVZbnjPGjyrPqOcth0SMTR75AZY,2024-07-18 11:18:31.775,i9YoWTGXHqNeWpMrV8duLH1nH8KZY,Le Sserafim Easy (Random Ver.),Regular,1,36.95,36.95
110,bPHrcagQFQAOrU9pEZ5F9QFkvaB,2024-07-17 16:41:14.919,WT20WmIdASlHLgiGLmd5mdjeV,Aespa - Armageddon (Poster Ver.),Regular,1,36.95,36.95
111,bPHrcagQFQAOrU9pEZ5F9QFkvaB,2024-07-17 16:41:14.919,WT20WmIdASlHLgiGLmd5mdjeV,Nayeon (Twice) - NA (Random Ver.),Regular,1,39.95,39.95
112,9aIn3foQW1dc1ccmIzTwibuDvaB,2024-07-17 15:42:11.133,6hQ0plXDzvhc3GcdYmmpgOmeV,BTS Map of the Soul: Persona (Random Ver.),Regular,1,35.95,35.95
113,pOtAgQreHXHQnCCzZiizpzHQvaB,2024-07-17 15:22:14.500,QEKF8aGytjXWp9fmhXHzjq9eV,Aespa - Armageddon (Poster Ver.),Regular,1,36.95,36.95
114,7TF3nRQ1132eoBS2p2W5H0MNuaB,2024-07-17 15:09:29.511,6rrly6iv9j4Ehp2prbaZK44eV,Seventeen - Best Album 17 Is Right Here (Random Ver.),Regular,1,49.95,49.95
115,XfWi2qi5Bz5wtuSiSDvxBXG1uaB,2024-07-17 14:15:02.339,4m3EkBT0cheDWL7xl962jgqeV,,,1,5.0,5.0
116,tARegs2DxDl9UK6RXtXnnF5BuaB,2024-07-15 12:20:41.581,S7ZpHlbC7VBVPXnT96Em3E3eV,NewJeans - How Sweet (Random Ver.),Regular,1,39.95,39.95
117,nZdXrLlHRZG9oAYCSJgsj9C0uaB,2024-07-14 17:19:28.906,mppu0wWKcJuGP8v1LZ6mbb2eV,,,1,20.0,20.0
118,vnmdrmdLw5GnihjNP3Icnkz0vaB,2024-07-14 17:18:38.804,Y2TAfpLc6cylT604GfErLnieV,,,,,
119,3db719u6SKi2zj3OraL5dhZhuaB,2024-07-14 16:29:50.797,kS8ffxBTwP7xtB6r6KLm5ZmeV,,,1,15.95,15.95
120,7ftonTZvTgGVms2gI6EJhjEovaB,2024-07-14 15:51:04.094,y1s2E8nF6DBMRezBK9Rpl6jeV,,,1,5.0,5.0
121,xOnsRnsIN6OGWM9ZwOul8k2j0ZFZY,2024-07-14 13:33:36.908,Q6JzjGsWWD2OV63FhSIjizIoUwXZY,,,1,5.0,5.0
122,jTHxJ195qNe7M8PWUFyXtXYyTiQZY,2024-07-14 13:31:54.088,gMAg849KBY1PH3l2p9NwjMx4LoEZY,,,1,5.0,5.0
123,PJPLmevV6BlsIKG1OvH7YQF5uaB,2024-07-14 13:26:47.662,I6VybUSxB6zoBjoy6bABGUmeV,Le Sserafim Easy (Random Ver.),Regular,1,36.95,36.95
124,PJPLmevV6BlsIKG1OvH7YQF5uaB,2024-07-14 13:26:47.662,I6VybUSxB6zoBjoy6bABGUmeV,Paper Bag,Regular,1,1.0,1.0
125,npljjy6I25mbol50xc4O6jfGvaB,2024-07-14 13:26:12.001,KRGHYK5fOJtmu2Wx7rFTVc0eV,,,,,
126,DRsURyydxzGJivxyoMTijJwOuaB,2024-07-14 12:26:54.487,oCnt7UsoQp3qjCfym0xViU1eV,Ateez The World EP.FIN : Will (Random Ver.),Ateez,1,31.95,31.95
127,DRsURyydxzGJivxyoMTijJwOuaB,2024-07-14 12:26:54.487,oCnt7UsoQp3qjCfym0xViU1eV,Paper Bag,Regular,1,1.0,1.0
128,RSTfQwzlpmoZjmYoOISLWdTquaB,2024-07-13 16:52:01.418,SHLbbsFbfARfDsBBitLraYmeV,Nayeon (Twice) - NA (Random Ver.),Regular,1,39.95,39.95
129,vBxA9UQzMcMKYROrK6oGnbWmuaB,2024-07-13 16:41:51.866,MwlPmjnngJGAfAvH74V0rgxeV,Stray Kids - NoEasy (Random Ver.),Regular,2,38.95,77.9
130,p0yti4PaNIimLJ6z1nndIMVHrYeZY,2024-07-13 16:41:11.242,aFwPHgWtKVnhk45mEE3HiMYhmdXZY,I’VE Mine (Random Ver.),I ' ve Mine - Random Cover,1,36.95,36.95
131,RWPuVA8lp9FiPS3UVgQVgEM4uaB,2024-07-13 16:02:01.421,yfJgfEB5xpi9Pgspk1acHFheV,,,1,5.0,5.0
