id,order_id,datetime,name,variation_name,quantity,base,total,type
DrVkuiX6swttQbD3YOIiJYueCq6YY,0oDVDHiCEF70QgrNzFIlepZxsRdZY,2024-08-10 12:58:12.650,Enhypen-Romance : Untold,Regular,1,39.95,39.95,Physical
x6Z6DmJnE02n2b0MlkfdqlgDvaB,cgf8Nys6O0kYrFiN6bOfzP5eV,2024-08-10 12:28:10.941,ATEEZ [GOLDEN HOUR: Part 1],Golden Hour : Part.1 10th Mini Album+Extra Photocards Set,1,39.95,39.95,Physical
zRgw7GPcGtyrOVHkHzW2zYsGuaB,kqQLxkHzoe7bVnwGg1ZDTQyeV,2024-08-10 10:01:55.408,Le Sserafim Easy (Random Ver.),Regular,1,36.95,36.95,Physical
bdcSMa2C1mvY6ARnTzFW8eBUuaB,gaPkoKhEASD2nCpH66uZ3akeV,2024-08-09 14:16:54.826,,,1,39.95,39.95,Physical
3ldQWoKuo8NYZ9B7s851BUeIvaB,IiLLHIyW3mIH1JdO7XpVX8neV,2024-08-07 15:06:54.373,"Stray Kids - ATE (Chk Chk Ver., Boom Ver.)",Ate Limited Edition Ate Version CD+PO Benefit,1,39.95,39.95,Physical
hC3ND8fDEwJpIsBtpBbc7h1isWOZY,GjOKl5Y5X7j0Tsu8VqU0s5bz9T9YY,2024-08-07 12:06:34.065,,,1,5.0,5.0,Physical
D37c4lJ1XMMzgzvzVOaUEMWATQJZY,s8rlobJZTUae6zk2D0wrU96GeVMZY,2024-08-05 14:13:25.510,Twice With You-th (Random Ver.),Regular,1,35.95,35.95,Physical
1gVx2166ZeTdWdgF2vawncmVuaB,KjHfstVs4yiqqXdRKBpCIt4eV,2024-08-04 12:52:12.813,,,1,1.0,1.0,Physical
1gVx2166ZeTdWdgF2vawncmVuaB,KjHfstVs4yiqqXdRKBpCIt4eV,2024-08-04 12:52:12.813,Nayeon (Twice) - NA (Random Ver.),Regular,1,39.95,39.95,Physical
7jRxfjyjK25QDo52YoHkor8quaB,YqDz7VPxdV4KNq1xHrpt0E6eV,2024-08-04 12:10:48.254,NCT127 - Fact Check (Photobook Ver.),Photobook Version,1,35.95,35.95,Physical
JGpCr8tVhMJ7IkLCabyqFFHFvaB,kABIkZAoEs24L4hZ7KJyWsgeV,2024-08-03 15:51:51.408,,,1,5.0,5.0,Physical
B86EF7Bbd5J32zkxGBaL5mIVrJaZY,mZRsQ0ukCij8WfLuoMRCiRZxfYQZY,2024-08-03 15:01:11.569,(G)I-DLE - 2 (Random Ver.),"Incl. 96PG Booklet, Lyric Paper, Mini-POSTER, Envelope, Photocard, Film Photocard, Message Card + Sticker",1,34.95,34.95,Physical
TZi3L5mwRqppn5ODBwBB4SvQFSdZY,Ms5CxwWuqsMF9rZwUmcGVxC3r7FZY,2024-08-02 16:25:33.675,Aespa Drama (Giant Ver.),Regular,1,36.95,36.95,Physical
TZi3L5mwRqppn5ODBwBB4SvQFSdZY,Ms5CxwWuqsMF9rZwUmcGVxC3r7FZY,2024-08-02 16:25:33.675,Nayeon (Twice) - NA (Random Ver.),Regular,1,39.95,39.95,Physical
TZi3L5mwRqppn5ODBwBB4SvQFSdZY,Ms5CxwWuqsMF9rZwUmcGVxC3r7FZY,2024-08-02 16:25:33.675,Le Sserafim Easy (Random Ver.),Regular,1,36.95,36.95,Physical
nVftlbttaBzMh1wWFogwYI6YvaB,Q2FWSJIfQdVsr5ozb7RydnkeV,2024-08-02 15:37:33.455,Nayeon (Twice) - NA (Random Ver.),Regular,1,39.95,39.95,Physical
HJLc0YVEaOB9lBU6j5y3OnJp3pYZY,EUHO4OL2VKPYdvnOpgQHtrxD3TaZY,2024-07-31 16:29:03.225,,,1,15.0,15.0,Physical
TV6mWaC7yyXVrp22eaTHZ8EUvaB,8AVp0YE1ArdAHjhHd3ErFh6eV,2024-07-31 14:02:25.320,BTS JungKook Golden (Random Ver.),Jungkook BTS,1,39.95,39.95,Physical
PTwzTKxGsXrFcPtjXPmYrc8OjwNZY,AoczYKvTmsYfb0hp1iytDT1eyBBZY,2024-07-31 10:36:13.865,,,1,31.5,31.5,Physical
xwGnfNKRISnT6cO2UJT6ZE7WQnRZY,GNPAQJZzNOsIfRMviDQDCV9iCNZZY,2024-07-28 11:49:44.546,,,1,28.0,28.0,Physical
B8ieQnrwlfkaEze6NpbzaawyMWGZY,ufe23hNIZIu2dLPWnsWyoGHxWh9YY,2024-07-28 11:49:27.685,,,1,29.0,29.0,Physical
l20zpQq750qjlQZxeWxR68S4u09YY,8CKJTUJ9qCzjNedxu9NT6Dhx1G9YY,2024-07-28 11:49:09.721,,,1,30.0,30.0,Physical
nr4qiA9fM7uZpl4I67qCSq4cwaUZY,WPgU1bWSSAvBgcXnUs47DIPuldcZY,2024-07-28 11:48:51.766,,,1,30.5,30.5,Physical
zRGTpZVTMBWh2D5Vrtz7vYBiO1TZY,Eyg5nqsWbeZqEitMy4k1xGUAH7BZY,2024-07-28 11:47:52.777,,,1,31.5,31.5,Physical
PJJatNTPfGn1IBHNq4RHDL6ro0GZY,c4vAUhsbWHylwnevv7W7kV9Tl3PZY,2024-07-28 11:24:55.776,,,1,31.5,31.5,Physical
DdWU2N4pY4tg7sQ0PoyzIEOCb5YZY,U2gOtEQlLqlFlG5WU82vHD3FNLMZY,2024-07-28 11:16:15.762,(G)I-DLE - 2 (Random Ver.),"Incl. 96PG Booklet, Lyric Paper, Mini-POSTER, Envelope, Photocard, Film Photocard, Message Card + Sticker",1,34.95,34.95,Physical
DdWU2N4pY4tg7sQ0PoyzIEOCb5YZY,U2gOtEQlLqlFlG5WU82vHD3FNLMZY,2024-07-28 11:16:15.762,(G)I-DLE - 2 (Random Ver.),"Incl. 96PG Booklet, Lyric Paper, Mini-POSTER, Envelope, Photocard, Film Photocard, Message Card + Sticker",1,34.95,34.95,Physical
DdWU2N4pY4tg7sQ0PoyzIEOCb5YZY,U2gOtEQlLqlFlG5WU82vHD3FNLMZY,2024-07-28 11:16:15.762,(G)I-DLE - 2 (Random Ver.),"Incl. 96PG Booklet, Lyric Paper, Mini-POSTER, Envelope, Photocard, Film Photocard, Message Card + Sticker",1,34.95,34.95,Physical
XPkp0YJvPSauVnDt4N2GbaQc31cZY,U2gOtEQlLqlFlG5WU82vHD3FNLMZY,2024-07-28 11:15:32.849,(G)I-DLE - 2 (Random Ver.),"Incl. 96PG Booklet, Lyric Paper, Mini-POSTER, Envelope, Photocard, Film Photocard, Message Card + Sticker",1,34.95,34.95,Physical
XPkp0YJvPSauVnDt4N2GbaQc31cZY,U2gOtEQlLqlFlG5WU82vHD3FNLMZY,2024-07-28 11:15:32.849,(G)I-DLE - 2 (Random Ver.),"Incl. 96PG Booklet, Lyric Paper, Mini-POSTER, Envelope, Photocard, Film Photocard, Message Card + Sticker",1,34.95,34.95,Physical
XPkp0YJvPSauVnDt4N2GbaQc31cZY,U2gOtEQlLqlFlG5WU82vHD3FNLMZY,2024-07-28 11:15:32.849,(G)I-DLE - 2 (Random Ver.),"Incl. 96PG Booklet, Lyric Paper, Mini-POSTER, Envelope, Photocard, Film Photocard, Message Card + Sticker",1,34.95,34.95,Physical
DVSICmWm7aQqgxGkKOo1hklkZKDZY,U2gOtEQlLqlFlG5WU82vHD3FNLMZY,2024-07-28 11:15:09.233,(G)I-DLE - 2 (Random Ver.),"Incl. 96PG Booklet, Lyric Paper, Mini-POSTER, Envelope, Photocard, Film Photocard, Message Card + Sticker",1,34.95,34.95,Physical
DVSICmWm7aQqgxGkKOo1hklkZKDZY,U2gOtEQlLqlFlG5WU82vHD3FNLMZY,2024-07-28 11:15:09.233,(G)I-DLE - 2 (Random Ver.),"Incl. 96PG Booklet, Lyric Paper, Mini-POSTER, Envelope, Photocard, Film Photocard, Message Card + Sticker",1,34.95,34.95,Physical
DVSICmWm7aQqgxGkKOo1hklkZKDZY,U2gOtEQlLqlFlG5WU82vHD3FNLMZY,2024-07-28 11:15:09.233,(G)I-DLE - 2 (Random Ver.),"Incl. 96PG Booklet, Lyric Paper, Mini-POSTER, Envelope, Photocard, Film Photocard, Message Card + Sticker",1,34.95,34.95,Physical
TLb3NARXDCJJvkgQYqpmnyJXWp8YY,kawP18ag652DHnAbSAXb2HxNxtQZY,2024-07-28 11:14:27.546,(G)I-DLE - 2 (Random Ver.),"Incl. 96PG Booklet, Lyric Paper, Mini-POSTER, Envelope, Photocard, Film Photocard, Message Card + Sticker",1,34.95,34.95,Physical
TLb3NARXDCJJvkgQYqpmnyJXWp8YY,kawP18ag652DHnAbSAXb2HxNxtQZY,2024-07-28 11:14:27.546,(G)I-DLE - 2 (Random Ver.),"Incl. 96PG Booklet, Lyric Paper, Mini-POSTER, Envelope, Photocard, Film Photocard, Message Card + Sticker",1,34.95,34.95,Physical
bLBTxgB1VuUzUtVy927J024QagWZY,kawP18ag652DHnAbSAXb2HxNxtQZY,2024-07-28 11:14:10.789,(G)I-DLE - 2 (Random Ver.),"Incl. 96PG Booklet, Lyric Paper, Mini-POSTER, Envelope, Photocard, Film Photocard, Message Card + Sticker",1,34.95,34.95,Physical
bLBTxgB1VuUzUtVy927J024QagWZY,kawP18ag652DHnAbSAXb2HxNxtQZY,2024-07-28 11:14:10.789,(G)I-DLE - 2 (Random Ver.),"Incl. 96PG Booklet, Lyric Paper, Mini-POSTER, Envelope, Photocard, Film Photocard, Message Card + Sticker",1,34.95,34.95,Physical
JiDWEfI0Zswof29AmV0bwcrvriXZY,aXFTktbDrst4e3aTLqgDlrb3wGTZY,2024-07-28 11:13:42.424,(G)I-DLE - 2 (Random Ver.),"Incl. 96PG Booklet, Lyric Paper, Mini-POSTER, Envelope, Photocard, Film Photocard, Message Card + Sticker",1,34.95,34.95,Physical
nXEpGz2E9pSVGVUA53qISYlSynKZY,atM1wWpsH3JWNkUHytNo2ZU8PhKZY,2024-07-28 11:13:12.497,(G)I-DLE - 2 (Random Ver.),"Incl. 96PG Booklet, Lyric Paper, Mini-POSTER, Envelope, Photocard, Film Photocard, Message Card + Sticker",1,34.95,34.95,Physical
dwBilAU8ZftxpMWHZ3y5nzi5uaB,0y0v2okyvwQZ3pmAmetDgOteV,2024-07-25 16:29:52.316,,,1,5.0,5.0,Physical
RGBtARcsX4AlGGFg2znjC80muaB,UUZT7n2EzQD5xWidMCZlOJAfV,2024-07-21 14:54:13.777,,,1,10.0,10.0,Physical
HZdBGDycDf91Yi4CB4apXC6nuaB,Gx9k10kvNkJypo6MDQnpLczeV,2024-07-20 14:43:51.849,,,1,15.0,15.0,Physical
lgN5zebLTa3N17GKr9jOFZa2uaB,KpkQexdI1CuJviIzyLQqU06eV,2024-07-20 14:40:18.981,,,1,5.0,5.0,Physical
B8QDVWPmZQyk04ZOxMcTsDcOuaB,suqqIpSBAO9yTx8Vj8mvPt7eV,2024-07-20 11:46:37.134,NCT Dream - Dream()Scape (Photobook Ver.),Dream Scape,1,38.95,38.95,Physical
PDMLcTAyixEawMegbdKFICODuaB,6nJtYdH2b2be6TtB8w4nwHoeV,2024-07-19 16:25:43.838,,,1,5.0,5.0,Physical
9ykDdfX9fH1nFIXVaR4oDjbDuaB,yZwhf1NtxS80RMucjicp1DxeV,2024-07-19 16:04:17.912,,,1,20.0,20.0,Physical
bZqIhrHU5J3NTixHECFLWnDLuaB,UkNrOYuyKA9iu2lPlOgjN02eV,2024-07-19 16:02:41.769,,,1,10.0,10.0,Physical
758ry681xY1z1wAQGJaBVTl6taB,ujISpWk8haD6gDKdxfj5xD5eV,2024-07-19 16:02:16.782,,,,,,
XrgaTrg4ylviW6VgGBmbeOpiuaB,AKJlEnzNx2mjPUfn1fqYsW7eV,2024-07-19 15:45:20.311,,,1,15.0,15.0,Physical
x8K0utoNOnFMKgct1D1psZJFvaB,EucakIo0OXVvDyHp0iRAGozeV,2024-07-19 15:37:01.156,,,1,50.0,50.0,Physical
Hl9oFmdr1pDpg8tuvQ33Kpm9vaB,UIpubnUeZwYHCZQqCWwW5ioeV,2024-07-19 15:21:17.066,,,1,15.0,15.0,Physical
xunWoCgp6xFZRQrSNU5Ye9NuuaB,u3QtZN7cMDXHszzwBVaQllqeV,2024-07-19 15:00:34.367,,,1,15.0,15.0,Physical
3H4Xrg5wiJ78W8V0k7uRpaV5vaB,Awkv5U9WbBMAqlAFWGWpTdjeV,2024-07-19 14:36:02.459,,,1,15.0,15.0,Physical
zjJgJJd1DxmJ6YK1RehRI74dbGbZY,Qi3oZB9r4LN6zYGKdVZbwNPbwh9YY,2024-07-18 17:26:08.417,BTS Butter (Random Ver.),BTS,1,37.95,37.95,Physical
zjJgJJd1DxmJ6YK1RehRI74dbGbZY,Qi3oZB9r4LN6zYGKdVZbwNPbwh9YY,2024-07-18 17:26:08.417,Stray Kids - NoEasy (Random Ver.),Regular,1,38.95,38.95,Physical
zjJgJJd1DxmJ6YK1RehRI74dbGbZY,Qi3oZB9r4LN6zYGKdVZbwNPbwh9YY,2024-07-18 17:26:08.417,BTS Jimin Face (Random Ver.),Regular,1,39.95,39.95,Physical
Bq33ZvCBJkAeFaX6yiuvXOAHvaB,6zXZGepO6wCgdCTPMqeddO8eV,2024-07-18 16:34:21.634,,,1,5.0,5.0,Physical
Bq33ZvCBJkAeFaX6yiuvXOAHvaB,6zXZGepO6wCgdCTPMqeddO8eV,2024-07-18 16:34:21.634,,,1,1.0,1.0,Physical
lclYiBtcHGqVH11FbA8beKJHvaB,ednNdZkiAm3KC25a0ehLl2oeV,2024-07-18 15:07:00.621,NewJeans - How Sweet (Random Ver.),Regular,1,39.95,39.95,Physical
FURwY5SRZnQePoHzOiPUWJDyuaB,67lSUsbEu2q6HHVdY5ksEUieV,2024-07-18 12:38:10.281,,,1,18.5,18.5,Physical
ntXzhnmzR1fnZtfIHtSTcSdRuaB,ijFTBD1sBdF5cHKtRFdhQK9eV,2024-07-18 11:37:39.150,NewJeans - How Sweet (Random Ver.),Regular,1,39.95,39.95,Physical
TZGVZbnjPGjyrPqOcth0SMTR75AZY,i9YoWTGXHqNeWpMrV8duLH1nH8KZY,2024-07-18 11:18:31.775,Le Sserafim Easy (Random Ver.),Regular,1,36.95,36.95,Physical
bPHrcagQFQAOrU9pEZ5F9QFkvaB,WT20WmIdASlHLgiGLmd5mdjeV,2024-07-17 16:41:14.919,Aespa - Armageddon (Poster Ver.),Regular,1,36.95,36.95,Physical
bPHrcagQFQAOrU9pEZ5F9QFkvaB,WT20WmIdASlHLgiGLmd5mdjeV,2024-07-17 16:41:14.919,Nayeon (Twice) - NA (Random Ver.),Regular,1,39.95,39.95,Physical
9aIn3foQW1dc1ccmIzTwibuDvaB,6hQ0plXDzvhc3GcdYmmpgOmeV,2024-07-17 15:42:11.133,BTS Map of the Soul: Persona (Random Ver.),Regular,1,35.95,35.95,Physical
pOtAgQreHXHQnCCzZiizpzHQvaB,QEKF8aGytjXWp9fmhXHzjq9eV,2024-07-17 15:22:14.500,Aespa - Armageddon (Poster Ver.),Regular,1,36.95,36.95,Physical
7TF3nRQ1132eoBS2p2W5H0MNuaB,6rrly6iv9j4Ehp2prbaZK44eV,2024-07-17 15:09:29.511,Seventeen - Best Album 17 Is Right Here (Random Ver.),Regular,1,49.95,49.95,Physical
XfWi2qi5Bz5wtuSiSDvxBXG1uaB,4m3EkBT0cheDWL7xl962jgqeV,2024-07-17 14:15:02.339,,,1,5.0,5.0,Physical
tARegs2DxDl9UK6RXtXnnF5BuaB,S7ZpHlbC7VBVPXnT96Em3E3eV,2024-07-15 12:20:41.581,NewJeans - How Sweet (Random Ver.),Regular,1,39.95,39.95,Physical
nZdXrLlHRZG9oAYCSJgsj9C0uaB,mppu0wWKcJuGP8v1LZ6mbb2eV,2024-07-14 17:19:28.906,,,1,20.0,20.0,Physical
vnmdrmdLw5GnihjNP3Icnkz0vaB,Y2TAfpLc6cylT604GfErLnieV,2024-07-14 17:18:38.804,,,,,,
3db719u6SKi2zj3OraL5dhZhuaB,kS8ffxBTwP7xtB6r6KLm5ZmeV,2024-07-14 16:29:50.797,,,1,15.95,15.95,Physical
7ftonTZvTgGVms2gI6EJhjEovaB,y1s2E8nF6DBMRezBK9Rpl6jeV,2024-07-14 15:51:04.094,,,1,5.0,5.0,Physical
xOnsRnsIN6OGWM9ZwOul8k2j0ZFZY,Q6JzjGsWWD2OV63FhSIjizIoUwXZY,2024-07-14 13:33:36.908,,,1,5.0,5.0,Physical
jTHxJ195qNe7M8PWUFyXtXYyTiQZY,gMAg849KBY1PH3l2p9NwjMx4LoEZY,2024-07-14 13:31:54.088,,,1,5.0,5.0,Physical
PJPLmevV6BlsIKG1OvH7YQF5uaB,I6VybUSxB6zoBjoy6bABGUmeV,2024-07-14 13:26:47.662,Le Sserafim Easy (Random Ver.),Regular,1,36.95,36.95,Physical
PJPLmevV6BlsIKG1OvH7YQF5uaB,I6VybUSxB6zoBjoy6bABGUmeV,2024-07-14 13:26:47.662,Paper Bag,Regular,1,1.0,1.0,Physical
npljjy6I25mbol50xc4O6jfGvaB,KRGHYK5fOJtmu2Wx7rFTVc0eV,2024-07-14 13:26:12.001,,,,,,
DRsURyydxzGJivxyoMTijJwOuaB,oCnt7UsoQp3qjCfym0xViU1eV,2024-07-14 12:26:54.487,Ateez The World EP.FIN : Will (Random Ver.),Ateez,1,31.95,31.95,Physical
DRsURyydxzGJivxyoMTijJwOuaB,oCnt7UsoQp3qjCfym0xViU1eV,2024-07-14 12:26:54.487,Paper Bag,Regular,1,1.0,1.0,Physical
RSTfQwzlpmoZjmYoOISLWdTquaB,SHLbbsFbfARfDsBBitLraYmeV,2024-07-13 16:52:01.418,Nayeon (Twice) - NA (Random Ver.),Regular,1,39.95,39.95,Physical
vBxA9UQzMcMKYROrK6oGnbWmuaB,MwlPmjnngJGAfAvH74V0rgxeV,2024-07-13 16:41:51.866,Stray Kids - NoEasy (Random Ver.),Regular,2,38.95,77.9,Physical
p0yti4PaNIimLJ6z1nndIMVHrYeZY,aFwPHgWtKVnhk45mEE3HiMYhmdXZY,2024-07-13 16:41:11.242,I’VE Mine (Random Ver.),I ' ve Mine - Random Cover,1,36.95,36.95,Physical
RWPuVA8lp9FiPS3UVgQVgEM4uaB,yfJgfEB5xpi9Pgspk1acHFheV,2024-07-13 16:02:01.421,,,1,5.0,5.0,Physical
d8LspGnUEW0dyN7sy9Q1dT49vaB,UQ9ShlrhLhKZX4MMj5eAl7oeV,2024-07-13 13:10:02.002,Stray Kids - NoEasy (Random Ver.),Regular,1,38.95,38.95,Physical
